"Órgão","Sigla","Unidade","Quantidade"
"SEMAD","SEMAD/DEREG (inativa)","(Unidade inativa)","1"
"SEMAD","SEMAD/SURAM (inativa)","(Unidade inativa)","7"
"SCC","SECCRI/ANÁLISE INTERNA","(Uso exclusivo da SECCRI)","22"
"SES","..",".","4"
"PMMG","PMMG/8RPM/101Cia E.Treinamento","101ª Companhia de Ensino e Treinamento da Oitava Região da PMMG","26"
"PMMG","PMMG/5RPM/105CIA-ET","105ª Cia de Ensino e Treinamento da 5ª RPM da PMMG","11"
"PMMG","PMMG/6RPM/106CIAET","106ª Companhia de Ensino de Treinamento da 6ª Região da Polícia Militar","20"
"PMMG","PMMG/CPE/BPMMAmb/10CIAPMAMB","10ª Companhia de Polícia Militar de Meio Ambiente","13"
"PMMG","PMMG/4RPM/10CIAPMIND","10ª COMPANHIA DE POLÍCIA MILITAR INDEPENDENTE","23"
"PMMG","PMMG/4RPM/10CIAPMIND/POC","10ª COMPANHIA DE POLICIA MILITAR INDEPENDENTE - POSTO DE COMBUSTÍVEL","4"
"PMMG","PMMG/CPE/BPMRV/10ª CIA PM RV","10ª Companhia de Polícia Militar Rodoviária","67"
"PMMG","PMMG/10RPM/10Cia PM Ind MAT","10ª Companhia PM Independente de Policiamento de Meio Ambiente","16"
"PCMG","PCMG/5DRPC/JUATUBA/10DPC FLOR","10ª Delegacia de Polícia Civil/FLORESTAL - Gabinete/5DRPC/JUATUBA/2DepPC/PCMG","52"
"PMMG","PMMG/10RPM","10ª Região da PMMG","456"
"SEJUSP","SEJUSP/10ª RISP","10ª Região Integrada de Segurança Pública / SEJUSP","182"
"DER","DER/URG/VARGINHA","10ª Unidade Regional DER - Varginha","828"
"DER","DER/URG/VARGINHA - NAF","10ª Unidade Regional DER - Varginha - NAF","135"
"DER","DER/URG/VARGINHA - NTE","10ª Unidade Regional DER - Varginha - NTE","32"
"PMMG","PMMG/11RPM/10BPM/SECT","10º Batalhão da Polícia Militar de MInas Gerais","55"
"CBMMG","CBMMG/10BBM/2Cia/1Pel","10º Batalhão de Bombeiros Militar","1"
"CBMMG","CBMMG/10BBM/3Cia PV","10º Batalhão de Bombeiros Militar","37"
"CBMMG","CBMMG/10BBM","10º Batalhão de Bombeiros Militar","785"
"CBMMG","CBMMG/10BBM/2Cia/3Pel","10º Batalhão de Bombeiros Militar","1"
"CBMMG","CBMMG/10BBM/CARTÓRIO","10º Batalhão de Bombeiros Militar / Cartório","111"
"PCMG","PCMG/10DepPC/PATOS DE MINAS","10º Departamento de Polícia Civil/PATOS DE MINAS - Gabinete/PCMG","14"
"PMMG","PMMG/CPE/BPMMAmb/11CIAPMAMB","11ª Companhia de Polícia Militar de Meio Ambiente","60"
"PMMG","PMMG/CPE/BPMRV/11ª CIA PM RV","11ª Companhia de Polícia Militar Rodoviária","46"
"PMMG","PMMG/19RPM/11Cia PM Ind","11ª Companhia PM Independente","50"
"PMMG","PMMG/11RPM/11Cia PM Ind MAT","11ª Companhia PM Independente de Policiamento de Meio Ambiente","58"
"PMMG","PMMG/11RPM/11CIA PM Ind PE","11ª Companhia PM Independente de Policiamento Especializado da Polícia Militar","332"
"PMMG","PMMG/11RPM","11ª Região da Polícia Militar de Minas Gerais","146"
"SEJUSP","SEJUSP/11ª RISP","11ª Região Integrada de Segurança Pública / SEJUSP","684"
"DER","DER/URG/UBERLANDIA","11ª Unidade Regional DER - Uberlândia","4"
"DER","DER/URG/UBERLANDIA - NAF","11ª Unidade Regional DER - Uberlândia - NAF","97"
"DER","DER/URG/UBERLANDIA - NTE","11ª Unidade Regional DER - Uberlândia - NTE","41"
"PMMG","PMMG/12RPM/11BPM","11º Batalhão da Polícia Militar de Minas Gerais","55"
"CBMMG","CBMMG/11BBM","11º Batalhão de Bombeiros Militar","448"
"CBMMG","CBMMG/11BBM/2Cia","11º Batalhão de Bombeiros Militar","26"
